No,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
1,56,housemaid,married,basic.4y,no,no,no,telephone,may,mon,261,1,999,0,nonexistent,no
2,57,services,married,high.school,unknown,no,no,telephone,may,mon,149,1,999,0,nonexistent,no
3,37,services,married,high.school,no,yes,no,telephone,may,mon,226,1,999,0,nonexistent,no
4,40,admin.,married,basic.6y,no,no,no,telephone,may,mon,151,1,999,0,nonexistent,no
5,56,services,married,high.school,no,no,yes,telephone,may,mon,307,1,999,0,nonexistent,no
6,45,services,married,basic.9y,unknown,no,no,telephone,may,mon,198,1,999,0,nonexistent,no
7,59,admin.,married,professional.course,no,no,no,telephone,may,mon,139,1,999,0,nonexistent,no
8,41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,217,1,999,0,nonexistent,no
9,24,technician,single,professional.course,no,yes,no,telephone,may,mon,380,1,999,0,nonexistent,no
10,25,services,single,high.school,no,yes,no,telephone,may,mon,50,1,999,0,nonexistent,no
11,41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,55,1,999,0,nonexistent,no
12,25,services,single,high.school,no,yes,no,telephone,may,mon,222,1,999,0,nonexistent,no
13,29,blue-collar,single,high.school,no,no,yes,telephone,may,mon,137,1,999,0,nonexistent,no
14,57,housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,293,1,999,0,nonexistent,no
15,35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,146,1,999,0,nonexistent,no
16,54,retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,174,1,999,0,nonexistent,no
17,35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,312,1,999,0,nonexistent,no
18,46,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,440,1,999,0,nonexistent,no
19,50,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,353,1,999,0,nonexistent,no
20,39,management,single,basic.9y,unknown,no,no,telephone,may,mon,195,1,999,0,nonexistent,no
21,30,unemployed,married,high.school,no,no,no,telephone,may,mon,38,1,999,0,nonexistent,no
22,55,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,262,1,999,0,nonexistent,no
23,55,retired,single,high.school,no,yes,no,telephone,may,mon,342,1,999,0,nonexistent,no
24,41,technician,single,high.school,no,yes,no,telephone,may,mon,181,1,999,0,nonexistent,no
25,37,admin.,married,high.school,no,yes,no,telephone,may,mon,172,1,999,0,nonexistent,no
26,35,technician,married,university.degree,no,no,yes,telephone,may,mon,99,1,999,0,nonexistent,no
27,59,technician,married,unknown,no,yes,no,telephone,may,mon,93,1,999,0,nonexistent,no
28,39,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,233,1,999,0,nonexistent,no
29,54,technician,single,university.degree,unknown,no,no,telephone,may,mon,255,2,999,0,nonexistent,no
30,55,unknown,married,university.degree,unknown,unknown,unknown,telephone,may,mon,362,1,999,0,nonexistent,no
31,46,admin.,married,unknown,no,no,no,telephone,may,mon,348,1,999,0,nonexistent,no
32,59,technician,married,unknown,no,yes,no,telephone,may,mon,386,1,999,0,nonexistent,no
33,49,blue-collar,married,unknown,no,no,no,telephone,may,mon,73,1,999,0,nonexistent,no
34,54,management,married,basic.4y,unknown,yes,no,telephone,may,mon,230,1,999,0,nonexistent,no
35,54,blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,208,1,999,0,nonexistent,no
36,55,unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,336,1,999,0,nonexistent,no
37,34,services,married,high.school,no,no,no,telephone,may,mon,365,1,999,0,nonexistent,no
38,52,technician,married,basic.9y,no,yes,no,telephone,may,mon,1666,1,999,0,nonexistent,no
39,41,admin.,married,university.degree,no,yes,no,telephone,may,mon,577,1,999,0,nonexistent,no
40,56,technician,married,basic.4y,no,yes,no,telephone,may,mon,137,1,999,0,nonexistent,no
41,58,management,unknown,university.degree,no,yes,no,telephone,may,mon,366,1,999,0,nonexistent,no
